Id,Name,PluralName,Abbreviation,NumericalValue,IsActive,BaseUnitId
1,metro,metros,m,1.000000,1,
2,kilogramo,kilogramos,kg,1000.000000,1,3
3,gramo,gramos,g,1.000000,1,
4,ciento,cientos,cto,100.000000,1,7
5,millar,millares,mil,1000.000000,1,7
6,docena,docenas,doc,12.000000,1,7
7,unidad,unidades,und,1.000000,1,
8,galón,galones,gal,1.000000,1,
9,metro cuadrado,metros cuadrados,m²,1.000000,1,
10,litro,litros,l,1.000000,1,
11,metro cúbico,metros cúbicos,m³,1.000000,1,
12,juego,juegos,kit,1.000000,1,
13,kilómetro,kilómetros,km,1000.000000,1,1
14,día,días,day,1.000000,1,
15,semana,semanas,sem,7.000000,1,14
16,quincena,quincenas,qnc,15.000000,1,14
17,mes,meses,mon,30.000000,1,14
18,año,años,yr,365.000000,1,14
19,milímetro,milímetros,mm,0.001000,1,1
20,centímetro,centímetros,cm,0.010000,1,1
21,pulgada,pulgadas,in,0.025400,1,1
22,pie,pies,ft,0.304800,1,1
23,tonelada,toneladas,t,1000.000000,1,2
24,libra,libras,lb,453.592000,1,3
25,par,pares,par,1.000000,1,
26,rollo,rollos,rll,1.000000,1,
27,caja,cajas,box,1.000000,1,
28,frasco,frascos,fco,1.000000,1,
